,FECHA,DESCRIPCION,SALDO,CREDIT/DEBIT,MONEDA
38,2023-01-05,FEE INTERNATIONAL SERV ICE CHARGE,17067.600000000017,-0.02,USD
39,2023-01-05,POS PURCHASE SAV PUR RF#393293 COMERCIALIZADORA V I MUNICIPIO VAR VE 010423 6380,17068.100000000017,-9.99,USD
40,2023-01-05,POS PURCHASE SAV PUR RF#497958 FERREMATERIALES EL E CARACAS VE 01032 3 6380,17078.09000000002,-43.0,USD
41,2023-01-05,FEE INTERNATIONAL SERV ICE CHARGE,17068.010000000017,-0.09,USD
42,2023-01-06,POS PURCHASE SAV PUR RF#836118 LASER AI CARACAS V E 010423 6380,17057.530000000017,-9.98,USD
43,2023-01-06,FEE INTERNATIONAL SERV ICE CHARGE,17057.510000000017,-0.02,USD
44,2023-01-06,FEE INTERNATIONAL SERV ICE CHARGE,17057.420000000016,-0.09,USD
45,2023-01-09,FEE INTERNATIONAL SERV ICE CHARGE,16843.42000000001,-0.08,USD
46,2023-01-09,FEE INTERNATIONAL SERV ICE CHARGE,16842.45000000001,-0.46,USD
47,2023-01-09,FEE INTERNATIONAL SERV ICE CHARGE,16842.91000000001,-0.1,USD
48,2023-01-09,FEE INTERNATIONAL SERV ICE CHARGE,16843.01000000001,-0.06,USD
49,2023-01-09,FEE INTERNATIONAL SERV ICE CHARGE,16843.07000000001,-0.35,USD
50,2023-01-09,FEE INTERNATIONAL SERV ICE CHARGE,16843.50000000001,-0.59,USD
51,2023-01-09,FEE INTERNATIONAL SERV ICE CHARGE,16844.09000000001,-0.13,USD
52,2023-01-09,FEE INTERNATIONAL SERV ICE CHARGE,16844.220000000012,-0.07,USD
53,2023-01-09,FEE INTERNATIONAL SERV ICE CHARGE,16844.29000000001,-0.02,USD
54,2023-01-09,POS PURCHASE SAV PUR RF#008427 INVERSIONES SK 202 1 CARACAS VE 01072 3 6380,17008.110000000015,-7.65,USD
55,2023-01-09,FEE INTERNATIONAL SERV ICE CHARGE,16844.36000000001,-0.01,USD
56,2023-01-09,FEE INTERNATIONAL SERV ICE CHARGE,16844.37000000001,-0.33,USD
57,2023-01-09,POS PURCHASE SAV PUR RF#004724 CONFITERIA TAPARA 2 MUNICIPIO VAR VE 010823 6380,16844.70000000001,-51.13,USD
58,2023-01-09,POS PURCHASE SAV PUR RF#469390 FERRETERIA ALBARAE DISTRITO CAPI VE 010723 6380,16895.830000000013,-7.02,USD
59,2023-01-09,POS PURCHASE SAV PUR RF#824162 SUPER VIVERES LOCA N CCS NOROESTE VE 010723 6380,16902.850000000013,-39.24,USD
60,2023-01-09,POS PURCHASE SAV PUR RF#156306 GAMA LA INDIA (LIN ) CARACAS VE 01072 3 6380,16942.090000000015,-66.02,USD
61,2023-01-09,POS PURCHASE SAV PUR RF#354576 FERREMATERIALES EL E CARACAS VE 01072 3 6380,17015.760000000017,-5.51,USD
62,2023-01-09,POS PURCHASE SAV PUR RF#669153 UNICASA CATIA DIST RITO CAPI VE 01062 3 6380,17021.270000000015,-36.15,USD
63,2023-01-09,FEE INTERNATIONAL SERV ICE CHARGE,16844.310000000012,-0.05,USD
64,2023-01-25,WIRE IN-DOM UNIVERSITAT INTERN ACIONAL VALE 23012 5083059F102 WIRE I N-INTERNATIONAL,17512.25000000001,669.8,USD
65,2023-01-25,FEE LA CRUZ PUENTE ALE XANDRA 23012508305 9F102 WIRE IN-INTE RNATIONAL FEE,17500.25000000001,-12.0,USD
66,2023-01-31,INTEREST CREDIT,17500.37000000001,0.12,USD
67,2023-02-28,INTEREST CREDIT,17500.48000000001,0.11,USD
68,2023-03-31,INTEREST CREDIT,17500.60000000001,0.12,USD
69,2023-04-28,INTEREST CREDIT,17500.72000000001,0.12,USD
70,2023-05-31,INTEREST CREDIT,17500.840000000007,0.12,USD
71,2023-06-30,INTEREST CREDIT,17500.960000000006,0.12,USD
72,2023-07-11,WIRE IN-DOM UNIVERSITAT INTERN ACIONAL VALE 23071 1083103F101 WIRE I N-INTERNATIONAL,20275.930000000008,2774.97,USD
73,2023-07-11,FEE ALEXANDRA LA CRUZ PUENTE 23071108310 3F101 WIRE IN-INTE RNATIONAL FEE,20263.930000000008,-12.0,USD
74,2023-07-18,ACH CREDIT ALEXANDRA LA CRUZ PUENTE PAYPAL IAT ALEXANDRA LA CRUZ PUENTE,20763.930000000008,500.0,USD
75,2023-07-31,INTEREST CREDIT,20764.070000000007,0.14,USD
76,2023-08-31,INTEREST CREDIT,20764.22000000001,0.15,USD
77,2023-09-29,INTEREST CREDIT,20764.360000000008,0.14,USD
78,2023-10-10,WIRE IN-DOM UNIVERSITAT INTERN ACIONAL VALE 23101 0081518F102 WIRE I N-INTERNATIONAL,22899.92000000001,2135.56,USD
79,2023-10-10,ATM WITHDRAWAL ATM W/D RF#420200 EPSSANIIBG1 CENTRO CB 100723 6380,22749.450000000008,-150.47,USD
80,2023-10-10,FEE INTERNATIONAL SERV ICE CHARGE,22746.040000000008,-1.41,USD
81,2023-10-10,FEE ALEXANDRA LA CRUZ PUENTE 23101008151 8F102 WIRE IN-INTE RNATIONAL FEE,22734.040000000008,-12.0,USD
82,2023-10-10,FEE SURCHARGE RF#42020 0 EPSSANIIBG1 CENT RO CB CB 6380,22727.950000000008,-6.09,USD
83,2023-10-10,FEE ATM TRANSACTION FE E,22747.450000000008,-2.0,USD
84,2023-10-31,INTEREST CREDIT,22728.110000000008,0.16,USD
85,2023-11-03,INTEREST CREDIT,22728.140000000007,0.03,USD
86,2023-11-14,POS PURCHASE TERMINAL NUMBER: 8 2716993 TERMINAL ADDRESS: TOSTAO CA FE Y PAN CC A IBA GUE COL,22722.900000000005,-5.24,USD
87,2023-11-30,INTEREST CREDIT,22723.030000000006,0.13,USD
88,2023-12-01,POS PURCHASE TERMINAL NUMBER: 85106803 TERMINAL ADDRESS: RICOTTA TRATTORIA IBAGUE COL,22694.110000000008,-28.92,USD
89,2023-12-08,ATM WITHDRAWAL CASH WITHDRAWAL TERMINAL 7679 BANCOLOMBIA CENTRO 5311279800001904 12-08-23 11:11 AM,22523.870000000006,-170.24,USD
90,2023-12-08,SERVICE CHARGE ATM WITHDRAWAL,22521.370000000006,-2.5,USD
91,2023-12-08,EFT SERVICE CHARGE SVC CHG INTRNTL TR AN,22516.260000000006,-5.11,USD
92,2023-12-11,POS PURCHASE MERCHANT PURCHASE TERMINAL 82716613 STOP IBAGUE COMBEI MA IBAGUE 5311279800001904 12-09-23 12:00 AM,22463.690000000006,-52.57,USD
93,2023-12-11,EFT SERVICE CHARGE SVC CHG INTRNTL TR AN,22462.110000000004,-1.58,USD
94,2023-12-12,ATM WITHDRAWAL CASH WITHDRAWAL TERMINAL 00007679 000000000007679 IBAGUE 5311279800001904 12-12-23 12:16 PM,22355.110000000004,-107.0,USD
95,2023-12-12,SERVICE CHARGE ATM WITHDRAWAL,22352.610000000004,-2.5,USD
96,2023-12-12,EFT SERVICE CHARGE SVC CHG INTRNTL TR AN,22349.400000000005,-3.21,USD
97,2023-12-14,WIRE IN-DOM 03dcfff4-ca5f-42fc -a0cc-7e51a7bf3dc1 UNIVERSITAT INTERN /URI/BNY CUST RRN: 1600696010ARFA98,22681.080000000005,331.68,USD
98,2023-12-14,SERVICE CHARGE INCOMING WIRE FEE,22669.080000000005,-12.0,USD
99,2023-12-18,EFT SERVICE CHARGE SVC CHG INTRNTL TR AN,22138.77,-0.99,USD
100,2023-12-18,EFT SERVICE CHARGE SVC CHG INTRNTL TR AN,22124.56,-6.55,USD
101,2023-12-18,EFT SERVICE CHARGE SVC CHG INTRNTL TR AN,22131.11,-5.17,USD
102,2023-12-18,EFT SERVICE CHARGE SVC CHG INTRNTL TR AN,22136.28,-2.49,USD
103,2023-12-18,EFT SERVICE CHARGE SVC CHG INTRNTL TR AN,22139.760000000002,-0.58,USD
104,2023-12-18,POS PURCHASE MERCHANT PURCHASE TERMINAL 82716993 FALABELLA TDA DPTO ACQ IBAGUE 5311279800001904 12-15-23 12:00 AM,22398.360000000004,-32.93,USD
105,2023-12-18,SERVICE CHARGE ATM WITHDRAWAL,22223.490000000005,-2.5,USD
106,2023-12-18,ATM WITHDRAWAL CASH WITHDRAWAL TERMINAL 0698 BANCOLOMBIA CENTRO 5311279800001904 12-15-23 7:37 PM,22225.990000000005,-172.37,USD
107,2023-12-18,POS PURCHASE MERCHANT PURCHASE TERMINAL 82716993 DROG CRUZ VERDE AC U@A IBAGUE 5311279800001904 12-15-23 12:00 AM,22450.610000000004,-218.47,USD
108,2023-12-18,POS PURCHASE MERCHANT PURCHASE TERMINAL 82716993 SURTIPLAZA ACQUA IBAGUE 5311279800001904 12-15-23 12:00 AM,22431.290000000005,-19.32,USD
109,2023-12-18,POS PURCHASE MERCHANT PURCHASE TERMINAL 75502913 UNICASA CATIA DISTRITO CAP 5311279800001904 12-17-23 12:00 AM,22140.340000000004,-83.15,USD
110,2023-12-19,POS PURCHASE MERCHANT PURCHASE TERMINAL 75502913 UNICASA CATIA DISTRITO CAP 5311279800001904 12-18-23 12:00 AM,22111.66,-12.9,USD
111,2023-12-19,POS PURCHASE MERCHANT PURCHASE TERMINAL 75450493 AUTOCERRAGERIA MAN OLO CARACAS 5311279800001904 12-18-23 12:00 AM,22097.45,-14.21,USD
112,2023-12-19,EFT SERVICE CHARGE SVC CHG INTRNTL TR AN,22097.06,-0.39,USD
113,2023-12-19,EFT SERVICE CHARGE SVC CHG INTRNTL TR AN,22096.63,-0.43,USD
114,2023-12-20,POS PURCHASE MERCHANT PURCHASE TERMINAL 75450493 AUTOCERRAGERIA MAN OLO CARACAS 5311279800001904 12-19-23 12:00 AM,22062.41,-34.22,USD
115,2023-12-20,EFT SERVICE CHARGE SVC CHG INTRNTL TR AN,22061.38,-1.03,USD
116,2023-12-21,POS PURCHASE MERCHANT PURCHASE TERMINAL 75180023 TIENDA REDVITAL CH ARAL MIRANDA 5311279800001904 12-20-23 12:00 AM,22023.79,-37.59,USD
117,2023-12-21,EFT SERVICE CHARGE SVC CHG INTRNTL TR AN,22022.66,-1.13,USD
118,2023-12-22,EFT SERVICE CHARGE SVC CHG INTRNTL TR AN,21913.280000000002,-0.9,USD
119,2023-12-22,EFT SERVICE CHARGE SVC CHG INTRNTL TR AN,21914.180000000004,-0.75,USD
120,2023-12-22,EFT SERVICE CHARGE SVC CHG INTRNTL TR AN,21914.930000000004,-0.71,USD
121,2023-12-22,EFT SERVICE CHARGE SVC CHG INTRNTL TR AN,21915.640000000003,-0.62,USD
122,2023-12-22,POS PURCHASE MERCHANT PURCHASE TERMINAL 75180023 FRIGORIFICO JMR 65 C.A DISTRITO CAP 5311279800001904 12-21-23 12:00 AM,21946.99,-29.98,USD
123,2023-12-22,POS PURCHASE MERCHANT PURCHASE TERMINAL 75180023 CORMERCIALIZADORA ROCH DISTRITO CAP 5311279800001904 12-21-23 12:00 AM,21916.47,-6.89,USD
124,2023-12-22,"POS PURCHASE MERCHANT PURCHASE TERMINAL 75450493 INVERSIONES DEFREC JA,C CARACAS 5311279800001904 12-21-23 12:00 AM",21923.36,-23.63,USD
125,2023-12-22,POS PURCHASE MERCHANT PURCHASE TERMINAL 75450493 INVER HORTYCAR KRI SJAL CARACAS 5311279800001904 12-21-23 12:00 AM,21976.97,-25.03,USD
126,2023-12-22,POS PURCHASE MERCHANT PURCHASE TERMINAL 02709390 BOD HJ E CHARALL 5311279800001904 12-20-23 12:00 AM,22002.0,-20.66,USD
127,2023-12-22,EFT SERVICE CHARGE SVC CHG INTRNTL TR AN,21916.260000000002,-0.21,USD
128,2023-12-26,POS PURCHASE MERCHANT PURCHASE TERMINAL 02709390 COR LA F CARACAS 5311279800001904 12-21-23 12:00 AM,21898.120000000003,-15.16,USD
129,2023-12-26,POS PURCHASE MERCHANT PURCHASE TERMINAL 75502913 UNICASA CATIA DISTRITO CAP 5311279800001904 12-22-23 12:00 AM,21827.020000000004,-71.1,USD
130,2023-12-26,POS PURCHASE MERCHANT PURCHASE TERMINAL 75180023 COMERCIALIZADORA A QUIT DISTRITO CAP 5311279800001904 12-22-23 12:00 AM,21818.110000000004,-8.91,USD
131,2023-12-26,POS PURCHASE MERCHANT PURCHASE TERMINAL 75180023 ABASTO CASA SANTA DISTRITO CAP 5311279800001904 12-24-23 12:00 AM,21812.050000000003,-6.06,USD
132,2023-12-26,"POS PURCHASE MERCHANT PURCHASE TERMINAL 75180023 SUPER VIVERES LOCA N, C DISTRITO CAP 5311279800001904 12-24-23 12:00 AM",21775.680000000004,-36.37,USD
133,2023-12-26,EFT SERVICE CHARGE SVC CHG INTRNTL TR AN,21775.500000000004,-0.18,USD
134,2023-12-26,EFT SERVICE CHARGE SVC CHG INTRNTL TR AN,21775.230000000003,-0.27,USD
135,2023-12-26,EFT SERVICE CHARGE SVC CHG INTRNTL TR AN,21774.780000000002,-0.45,USD
136,2023-12-26,EFT SERVICE CHARGE SVC CHG INTRNTL TR AN,21773.690000000002,-1.09,USD
137,2023-12-26,EFT SERVICE CHARGE SVC CHG INTRNTL TR AN,21771.56,-2.13,USD
138,2023-12-27,EFT SERVICE CHARGE SVC CHG INTRNTL TR AN,21731.11,-0.18,USD
139,2023-12-27,EFT SERVICE CHARGE SVC CHG INTRNTL TR AN,21730.08,-1.03,USD
140,2023-12-27,POS PURCHASE MERCHANT PURCHASE TERMINAL 75450493 AUTOCERRAGERIA MAN OLO CARACAS 5311279800001904 12-26-23 12:00 AM,21765.61,-5.95,USD
141,2023-12-27,POS PURCHASE MERCHANT PURCHASE TERMINAL 75502913 UNICASA CATIA DISTRITO CAP 5311279800001904 12-26-23 12:00 AM,21731.29,-34.32,USD
142,2023-12-28,EFT SERVICE CHARGE SVC CHG INTRNTL TR AN,21632.14,-0.65,USD
143,2023-12-28,EFT SERVICE CHARGE SVC CHG INTRNTL TR AN,21632.79,-0.64,USD
144,2023-12-28,EFT SERVICE CHARGE SVC CHG INTRNTL TR AN,21633.43,-0.44,USD
145,2023-12-28,EFT SERVICE CHARGE SVC CHG INTRNTL TR AN,21633.87,-0.38,USD
146,2023-12-28,EFT SERVICE CHARGE SVC CHG INTRNTL TR AN,21634.25,-0.34,USD
147,2023-12-28,EFT SERVICE CHARGE SVC CHG INTRNTL TR AN,21634.59,-0.18,USD
148,2023-12-28,EFT SERVICE CHARGE SVC CHG INTRNTL TR AN,21634.77,-0.13,USD
149,2023-12-28,EFT SERVICE CHARGE SVC CHG INTRNTL TR AN,21634.9,-0.1,USD
150,2023-12-28,POS PURCHASE MERCHANT PURCHASE TERMINAL 75450493 CHARC.LICORES GRAN DIP CARACAS 5311279800001904 12-27-23 12:00 AM,21647.54,-11.22,USD
151,2023-12-28,POS PURCHASE MERCHANT PURCHASE TERMINAL 75450493 ABASTOS FRUTOS DEL MA# CARACAS 5311279800001904 12-27-23 12:00 AM,21658.760000000002,-4.49,USD
152,2023-12-28,"POS PURCHASE MERCHANT PURCHASE TERMINAL 75450493 CHARCUTERIA AMAGEI S C, CARACAS 5311279800001904 12-27-23 12:00 AM",21663.250000000004,-21.73,USD
153,2023-12-28,POS PURCHASE MERCHANT PURCHASE TERMINAL 75450493 INVERSIONES EL HOR TAL CARACAS 5311279800001904 12-27-23 12:00 AM,21684.980000000003,-14.64,USD
154,2023-12-28,POS PURCHASE MERCHANT PURCHASE TERMINAL 75502913 FRIGORIFICO MAZALT O R. DISTRITO CAP 5311279800001904 12-27-23 12:00 AM,21699.620000000003,-3.37,USD
155,2023-12-28,POS PURCHASE MERCHANT PURCHASE TERMINAL 75180023 FRIGORIFICO JMR 65 C.A DISTRITO CAP 5311279800001904 12-27-23 12:00 AM,21702.99,-21.2,USD
156,2023-12-28,"POS PURCHASE MERCHANT PURCHASE TERMINAL 75450493 INVERSIONES DEFREC JA,C CARACAS 5311279800001904 12-27-23 12:00 AM",21724.190000000002,-5.89,USD
157,2023-12-28,POS PURCHASE MERCHANT PURCHASE TERMINAL 75180023 COMERCIALIZADORA A QUIT DISTRITO CAP 5311279800001904 12-27-23 12:00 AM,21635.0,-12.54,USD
158,2023-12-31,INTEREST CREDIT,21632.3,0.16,USD
