,FECHA,DESCRIPCION,SALDO,CREDIT/DEBIT,MONEDA
0,2024-01-02,POS PURCHASE MERCHANT PURCHASE TERMINAL 75548313 CHARCUT LICORERIA EL G CCS NOROESTE 5311279800001904 12-30-23 12:00 AM,18354.260000000028,-23.65,USD
1,2024-01-02,EFT SERVICE CHARGE SVC CHG INTRNTL TR AN,18286.48000000003,-0.96,USD
2,2024-01-02,EFT SERVICE CHARGE SVC CHG INTRNTL TR AN,18287.440000000028,-0.88,USD
3,2024-01-02,EFT SERVICE CHARGE SVC CHG INTRNTL TR AN,18288.32000000003,-0.71,USD
4,2024-01-02,EFT SERVICE CHARGE SVC CHG INTRNTL TR AN,18289.030000000028,-0.45,USD
5,2024-01-02,"POS PURCHASE MERCHANT PURCHASE TERMINAL 75450493 CHARCUTERIA AMAGEI S C, CARACAS 5311279800001904 12-31-23 12:00 AM",18347.860000000026,-6.4,USD
6,2024-01-02,EFT SERVICE CHARGE SVC CHG INTRNTL TR AN,18289.80000000003,-0.19,USD
7,2024-01-02,POS PURCHASE MERCHANT PURCHASE TERMINAL 02709390 BODEGON CARACAS 5311279800001904 12-31-23 12:00 AM,18289.990000000027,-32.15,USD
8,2024-01-02,POS PURCHASE MERCHANT PURCHASE TERMINAL 75548314 CHARCUT LICORERIA EL G CCS NOROESTE 5311279800001904 12-31-23 12:00 AM,18322.14000000003,-15.1,USD
9,2024-01-02,POS PURCHASE MERCHANT PURCHASE TERMINAL 75450493 BODEGA DE LOS PE&A CARACAS 5311279800001904 12-31-23 12:00 AM,18337.240000000027,-10.62,USD
10,2024-01-02,EFT SERVICE CHARGE SVC CHG INTRNTL TR AN,18289.48000000003,-0.32,USD
11,2024-01-03,POS PURCHASE MERCHANT PURCHASE TERMINAL 75502914 FARMAPLUS MODELO DISTRITO CAP 5311279800001904 01-02-24 12:00 AM,18282.030000000028,-4.45,USD
12,2024-01-03,EFT SERVICE CHARGE SVC CHG INTRNTL TR AN,18281.900000000027,-0.13,USD
13,2024-01-05,EFT SERVICE CHARGE SVC CHG INTRNTL TR AN,18259.120000000028,-0.34,USD
14,2024-01-05,EFT SERVICE CHARGE SVC CHG INTRNTL TR AN,18259.46000000003,-0.18,USD
15,2024-01-05,"POS PURCHASE MERCHANT PURCHASE TERMINAL 75450494 CHARCUTERIA AMAGEI S C, CARACAS 5311279800001904 01-04-24 12:00 AM",18259.780000000028,-4.76,USD
16,2024-01-05,POS PURCHASE MERCHANT PURCHASE TERMINAL 75502914 MARIA MIQUELINA FE RREI DISTRITO CAP 5311279800001904 01-04-24 12:00 AM,18264.540000000026,-5.88,USD
17,2024-01-05,POS PURCHASE MERCHANT PURCHASE TERMINAL 75450494 INVERSIONES EL HOR TAL CARACAS 5311279800001904 01-04-24 12:00 AM,18270.420000000027,-11.48,USD
18,2024-01-05,EFT SERVICE CHARGE SVC CHG INTRNTL TR AN,18259.64000000003,-0.14,USD
19,2024-01-08,EFT SERVICE CHARGE SVC CHG INTRNTL TR AN,18121.02000000003,-0.69,USD
20,2024-01-08,EFT SERVICE CHARGE SVC CHG INTRNTL TR AN,18117.96000000003,-2.22,USD
21,2024-01-08,EFT SERVICE CHARGE SVC CHG INTRNTL TR AN,18120.18000000003,-0.84,USD
22,2024-01-08,EFT SERVICE CHARGE SVC CHG INTRNTL TR AN,18121.71000000003,-0.26,USD
23,2024-01-08,POS PURCHASE MERCHANT PURCHASE TERMINAL 55201484 FARMAVALOR C A LA GUAI LA GUAIRA 5311279800001904 01-06-24 12:00 AM,18222.240000000027,-8.75,USD
24,2024-01-08,POS PURCHASE MERCHANT PURCHASE TERMINAL 72233034 PG SERVICIOS CA CCS NOROESTE 5311279800001904 01-07-24 12:00 AM,18122.060000000027,-3.02,USD
