Transaction Date,Transaction Time,Time Zone,Transaction ID,Description,Credit Amount,Debit Amount,Currency,Transfer Amount,Transfer Amount Currency,Status,Running Balance,Additional Description,Store Name,Source,Target,Reference ID
01/29/2026,09:21:20,UTC,966664785,Card charge (TIENDA D1 IBAGUE AMBAL),,15.03,USD,,,Completed,876.75,,,USD balance,TIENDA D1 IBAGUE AMBAL,
01/28/2026,09:18:01,UTC,966374254,Card charge (JUMBO EL VERGEL),,15.92,USD,,,Completed,891.78,,,USD balance,JUMBO EL VERGEL,
01/27/2026,09:16:53,UTC,966090250,Card charge (SURTIPLAZA ACQUA),,15.02,USD,,,Completed,907.70,,,USD balance,SURTIPLAZA ACQUA,
01/26/2026,09:18:59,UTC,965805376,Card charge (PUMA STORE IBAGUE),,100.06,USD,,,Completed,922.72,,,USD balance,PUMA STORE IBAGUE,
01/26/2026,09:14:40,UTC,965798255,Card charge (JUMBO EL VERGEL),,34.53,USD,,,Completed,1022.78,,,USD balance,JUMBO EL VERGEL,
01/26/2026,09:14:40,UTC,965798312,Card charge (DOLLARCITY VERGEL PLAZ),,11.97,USD,,,Completed,1057.31,,,USD balance,DOLLARCITY VERGEL PLAZ,
01/25/2026,13:41:48,UTC,965613486,Card charge (SURTIPLAZA ACQUA),,60.16,USD,,,Completed,1069.28,,,USD balance,SURTIPLAZA ACQUA,
01/25/2026,13:41:48,UTC,965613536,Card charge (JUMBO EL VERGEL),,14.68,USD,,,Completed,1129.44,,,USD balance,JUMBO EL VERGEL,
01/24/2026,09:15:00,UTC,965271289,Card charge (DECATHLON ISLA ESTACIO),,48.51,USD,,,Completed,1144.12,,,USD balance,DECATHLON ISLA ESTACIO,
01/24/2026,09:15:00,UTC,965271224,Card charge (JUMBO EL VERGEL),,12.26,USD,,,Completed,1192.63,,,USD balance,JUMBO EL VERGEL,
01/24/2026,09:15:00,UTC,965271324,Card charge (DECATHLON ISLA ESTACIO),,9.03,USD,,,Completed,1204.89,,,USD balance,DECATHLON ISLA ESTACIO,
01/19/2026,09:17:58,UTC,963835940,Card charge (CEREZA CAFE BAR),,17.18,USD,,,Completed,1213.92,,,USD balance,CEREZA CAFE BAR,
01/18/2026,08:44:39,UTC,963496088,Card charge (IMPACTO Y CALIDAD 6),,39.30,USD,,,Completed,1231.10,,,USD balance,IMPACTO Y CALIDAD 6,
01/16/2026,09:19:59,UTC,963055511,Card charge (SUPERMERCADO POPULAR 1),,12.75,USD,,,Completed,1270.40,,,USD balance,SUPERMERCADO POPULAR 1,
01/16/2026,09:17:24,UTC,963049752,Card charge (CLINICA DE OJOS DEL TO),,141.28,USD,,,Completed,1283.15,,,USD balance,CLINICA DE OJOS DEL TO,
01/12/2026,09:15:37,UTC,961852579,Card charge (SURTIPLAZA ACQUA),,43.06,USD,,,Completed,1424.43,,,USD balance,SURTIPLAZA ACQUA,
01/11/2026,09:24:22,UTC,961619032,Card charge (DROGUERIA CRUZ VERDE C),,38.92,USD,,,Completed,1467.49,,,USD balance,DROGUERIA CRUZ VERDE C,
01/11/2026,09:24:22,UTC,961619074,Card charge (PANAMERICANA LIBRER Y),,34.31,USD,,,Completed,1506.41,,,USD balance,PANAMERICANA LIBRER Y,
01/10/2026,09:15:01,UTC,961365799,Card charge (JUMBO EL VERGEL),,18.77,USD,,,Completed,1540.72,,,USD balance,JUMBO EL VERGEL,
01/07/2026,16:01:58,UTC,936405758,Withdrawal to Amerant Bank (7520),,235.00,USD,227.95,USD,Completed,1559.49,Diezmos,,USD balance,Amerant Bank (7520),#4366185370391111
01/07/2026,10:15:31,UTC,960555205,Card charge (JUMBO EL VERGEL),,19.88,USD,,,Completed,1794.49,,,USD balance,JUMBO EL VERGEL,
